DateTime,Entries,UniqueIPs
1558181791,5982,5982
1558183694,5984,5984
1558185617,5984,5984
1558187562,5988,5988
1558189456,5984,5984
1558191369,6001,6001
1558193301,5971,5971
1558195125,5764,5764
1558197138,5694,5694
1558199081,5692,5692
1558201104,5474,5474
1558202917,5414,5414
1558204826,5282,5282
1558206735,5155,5155
1558208677,5017,5017
1558210583,4978,4978
1558212747,4687,4687
1558214686,4575,4575
1558216577,4569,4569
1558218494,4481,4481
1558220459,4525,4525
1558222364,4549,4549
1558224283,4553,4553
1558226175,4553,4553
1558228127,4545,4545
1558230039,4547,4547
1558231944,4549,4549
1558233874,4545,4545
1558235784,4543,4543
1558237702,4539,4539
1558239612,4539,4539
1558241556,4556,4556
1558243464,4557,4557
1558245396,4559,4559
1558247298,4563,4563
1558249244,4573,4573
1558251182,4574,4574
1558253124,4580,4580
1558254988,4589,4589
1558257142,4716,4716
1558259060,4721,4721
1558261003,4725,4725
1558262912,4724,4724
1558264849,4724,4724
1558266749,4720,4720
1558268659,4756,4756
1558270599,4841,4841
1558272506,4904,4904
1558274460,5009,5009
1558276363,5068,5068
1558278285,5076,5076
1558280195,4843,4843
1558282117,4582,4582
1558284044,4319,4319
1558285944,4134,4134
1558287869,3910,3910
1558289800,3872,3872
1558291708,3706,3706
1558293622,3687,3687
1558295578,3686,3686
1558297457,3511,3511
1558299381,3205,3205
1558301320,2866,2866
1558304181,2674,2674
1558306095,2642,2642
1558308035,2647,2647
1558309941,2644,2644
1558311854,2905,2905
1558313794,3379,3379
1558315686,3844,3844
1558317654,4089,4089
1558319556,4394,4394
1558321743,4653,4653
1558323627,5012,5012
1558325572,5226,5226
1558327460,5606,5606
1558329639,5957,5957
1558331531,6238,6238
1558333467,6547,6547
1558335393,6871,6871
1558337306,7157,7157
1558339240,7240,7240
1558341158,7245,7245
1558343081,7267,7267
1558344999,7263,7263
1558346911,7310,7310
1558348823,7309,7309
1558350745,7309,7309
1558352682,7314,7314
1558354581,7287,7287
